14 ADMIRAL BLVD,14 Admiral Blvd,Baltimore,21222,MD
5127 ALBERTA AVE,5127 Alberta Ave,Baltimore,21236,MD
118 ALCOCK RD,118 Alcock Rd,Baltimore,21221,MD
4420 ANNAPOLIS RD,4420 Annapolis Rd,Halethorpe,21227,MD
4426 ANNAPOLIS RD,4426 Annapolis Rd,Baltimore,21227,MD
4428 ANNAPOLIS RD,4428 Annapolis Rd,Baltimore,21227,MD
4440 ANNAPOLIS RD,4440 Annapolis Rd,Baltimore,21227,MD
6 ARKLA CT,6 Arkla Ct,Baltimore,21228,MD
848 ARNCLIFFE RD,848 Arncliffe Rd,Baltimore,21221,MD
3115 ASPEN CT,3115 Aspen Ct,Halethorpe,21227,MD
402 AVONDALE RD,402 Avondale Rd,Portsmouth,23701,VA
1215 BAKER AVE,1215 Baker Ave,East Saint Louis,62201,IL
1909 BARRY RD,1909 Barry Rd,Baltimore,21222,MD
7515 BATTLE GROVE CIR,7515 Battle Grove Cir,Baltimore,21222,MD
4123 BEACHWOOD RD,4123 Beachwood Rd,Baltimore,21222,MD
29 BEAVER OAK CT,29 Beaver Oak Ct,Baltimore,21236,MD
7044 BELCLARE RD,7044 Belclare Rd,Baltimore,21222,MD
4739 BELLE FORTE RD,4739 Belle Forte Rd,Baltimore,21208,MD
14 N BELLE GROVE RD,1404 Grove Rd,Bellevue,68005,NE
7468 BERKSHIRE RD,7468 Berkshire Rd,Baltimore,21224,MD
3303 BERO RD,3303 Bero Rd,Baltimore,21227,MD
9602 BIGGS RD,9602 Biggs Rd,Baltimore,21220,MD
355 BIGLEY AVE,355 Bigley Ave,Baltimore,21227,MD
431 BIGLEY AVE,431 Bigley Ave,Baltimore,21227,MD
14 BLACK CHERRY CT,14 Black Cherry Ct W,Harleysville,19438,PA
36 BLADEN RD,36 Bladen Rd,Baltimore,21221,MD
6911 BLANCHE RD,6911 Blanche Rd,Baltimore,21215,MD
2430 BOND RD APT 1
8205 BULLNECK RD,8205 Bullneck Rd,Baltimore,21222,MD
5804 BURLESON RD,5804 Burleson Rd,Austin,78744,TX
303 CANDRY TER,303 Candry Ter,Baltimore,21221,MD
5900 CARROLL ST,5900 Carroll St,Baltimore,21207,MD
5930 CARROLL ST,5930 Carroll St,Baltimore,21207,MD
5107 CASTLE STONE DR,5107 Castle Stone Dr,Baltimore,21237,MD
1458 CLAIRIDGE RD,1458 Clairidge Rd,Baltimore,21207,MD
1410 CLARK AVE,1410 Clark Ave,Goodland,67735,KS
1301 COLBURY RD BSMT A
1303 COLBURY RD
8200 CORNWALL RD,8200 Cornwall Rd,Baltimore,21222,MD
5412 COUNCIL ST,5412 Council St,Baltimore,21227,MD
6 CROMARTY RD APT 3
35 CUTTER COVE CT,35 Cutter Cove Ct,Baltimore,21220,MD
986 DALTON AVE,986 Dalton Ave,Baltimore,21224,MD
988 DALTON AVE,988 Dalton Ave,Baltimore,21224,MD
1119 DANIELS AVE,1119 Daniels Ave,Baltimore,21207,MD
10 DARBYTOWN CT,10 Darbytown Ct,Baltimore,21236,MD
6810 DARWOOD DR,6810 Darwood Dr,Baltimore,21209,MD
7028 DEERFIELD RD,7028 Deerfield Rd,Baltimore,21208,MD
26 DELREY AVE,26 Delrey Ave,Baltimore,21228,MD
48 DELREY AVE,48 Delrey Ave,Baltimore,21228,MD
2019 DINEEN DR,2019 Dineen Dr,Baltimore,21222,MD
7525 DURWOOD RD,7525 Durwood Rd,Baltimore,21222,MD
1726 EASTERN BLVD
1730 EASTERN BLVD
1752 EASTERN BLVD
318 EASTERN AVE,318 Eastern Ave,Woodsfield,43793,OH
924 ELTON AVE,924 Elton Ave,Baltimore,21224,MD
927 ELTON AVE,927 Elton Ave,Baltimore,21224,MD
940 ELTON AVE,940 Elton Ave,Baltimore,21224,MD
972 ELTON AVE,972 Elton Ave,Baltimore,21224,MD
974 ELTON AVE,974 Elton Ave,Baltimore,21224,MD
505 EPSOM RD CONDO TC
21 ESPERANZA CT,21 Esperanza Ct,Baltimore,21208,MD
503 FAIRWAY CT,503 Fairway Ct N,Stewartville,55976,MN
2114 FIRETHORN RD,2114 Firethorn Rd,Baltimore,21204,MD
2118 FIRETHORN RD,2118 Firethorn Rd,Baltimore,21220,MD
1104 FREELAND RD UNIT 1
1104 FREELAND RD UNIT 2
1104 FREELAND RD UNIT 3
1104 FREELAND RD UNIT 4
1917 FREELAND RD,1917 Freeland Rd,Freeland,21053,MD
3405 GAITHER RD,3405 Gaither Rd,Baltimore,21244,MD
2812 GARNET RD,2812 Garnet Rd,Baltimore,21234,MD
2824 GARNET RD,2824 Garnet Rd,Baltimore,21234,MD
308 GEORGE AVE,308 George Ave,Saint Louis,63122,MO
6501 GOLDEN RING RD,6501 Golden Ring Rd,Baltimore,21237,MD
1346 GOOSE NECK RD,1346 Goose Neck Rd,Baltimore,21220,MD
7143 GOUGH ST,7143 Gough St,Baltimore,21224,MD
1341 GREENBRIAR CIR,1341 Greenbriar Cir,Baltimore,21208,MD
52 GREENMEADOW DR,52 Greenmeadow Dr,Lutherville Timonium,21093,MD
1201 GREGORY AVE,1201 Gregory Ave,Martinez,94553,CA
317 GROVETHORN RD,317 Grovethorn Rd,Baltimore,21220,MD
24 GUNFALLS GRTH
5710 GWYNN OAK AVE,5710 Gwynn Oak Ave,Baltimore,21207,MD
2607 HALLAM CT,2607 Hallam Ct,Baltimore,21244,MD
147 HAMPSHIRE RD,147 Butterfield Hill Rd,Westmoreland,03467,NH
2430 HARRIS MILL RD,2430 Harris Mill Rd,Parkton,21120,MD
2232 HAWTHORNE RD,2232 Hawthorne Rd,Baltimore,21220,MD
4318 HIGHVIEW AVE,4318 Highview Ave,Baltimore,21229,MD
14 HOLCUMB CT,14 Holcumb Ct,Baltimore,21220,MD
8552 HYDRA LN,8552 Hydra Ln,Baltimore,21236,MD
1771 INVERNESS AVE,1771 Inverness Ave,Baltimore,21222,MD
14227 JARRETTSVILLE PIKE
855 JAYDEE AVE,855 Jaydee Ave,Baltimore,21222,MD
0 JOPPA RD,0 Joppa Rd,Walling,38587,TN
7419 KALTON CT,7419 Kalton Ct,Baltimore,21208,MD
8362 KAVANAGH RD,8362 Kavanagh Rd,Baltimore,21222,MD
8364 KAVANAGH RD,8364 Kavanagh Rd,Baltimore,21222,MD
8410 KAVANAGH RD,8410 Kavanagh Rd,Baltimore,21222,MD
8428 KAVANAGH RD,8428 Kavanagh Rd,Baltimore,21222,MD
8438 KAVANAGH RD,8438 Kavanagh Rd,Baltimore,21222,MD
8520 KAVANAGH RD,8520 Kavanagh Rd,Baltimore,21222,MD
8528 KAVANAGH RD,8528 Kavanagh Rd,Baltimore,21222,MD
8552 KAVANAGH RD,8552 Kavanagh Rd,Baltimore,21222,MD
1508 KENT AVE,1508 Kent Ave,Baltimore,21207,MD
4607 KENWOOD AVE,4607 Kenwood Ave,Baltimore,21206,MD
70 KING HENRY CIR,70 King Henry Cir,Baltimore,21237,MD
55 KINSHIP RD,55 Kinship Rd,Baltimore,21222,MD
679 KITTENDALE CIR,679 Kittendale Cir,Baltimore,21220,MD
4 LANCASHIRE CT,4 Lancashire Ct,Waterford,06385,CT
7500 LANGE ST,7500 Lange St,Baltimore,21224,MD
7513 LANGE ST,7513 Lange St,Baltimore,21224,MD
6613 LOCH RAVEN BLVD APT B
2019 LONGVIEW AVE,2019 Longview Ave,Baltimore,21237,MD
347 MAGNOLIA TER,347 Magnolia Ter,Baltimore,21221,MD
4510 MAPLE AVE,4510 Maple Ave,Brookfield,60513,IL
632 MARIANNE LN,632 Marianne Ln,Baltimore,21228,MD
19 MARYLAND AVE,1909 Maryland Ave,Knoxville,37921,TN
4202 MARYLAND PL APT 1,13211 Chalet Pl,Germantown,20874,MD
4202 MARYLAND PL APT 2,13211 Chalet Pl,Germantown,20874,MD
8427 MEADOWSWEET RD,8427 Meadowsweet Rd,Baltimore,21208,MD
4706 MEISE DR,4706 Meise Dr,Baltimore,21206,MD
7 MELKEN CT,7 Melken Ct,Baltimore,21236,MD
208 MELVIN AVE,208 Melvin Ave,Baltimore,21228,MD
20108 MIDDLETOWN RD,20108 Middletown Rd,Freeland,21053,MD
8942 MILLERS ISLAND BLVD,8942 Millers Island Blvd,Baltimore,21219,MD
1214 MOLESWORTH RD,1214 Molesworth Rd,Parkton,21120,MD
21 MORNING CT,21 Morning Ct,Baltimore,21237,MD
3607 MOUNT CARMEL RD,3607 Mount Carmel Rd,Upperco,21155,MD
8015 NEIGHBORS AVE,8015 Neighbors Ave,Baltimore,21237,MD
1500 NICOLAY WAY,1500 Nicolay Way,Baltimore,21221,MD
2708 NORFEN RD,2708 Norfen Rd,Baltimore,21227,MD
4417 NORFEN RD,4417 Norfen Rd,Baltimore,21227,MD
1214 NORTH AVE,1214 North Ave,Perry,31069,GA
2725 NORTH POINT RD,2725 Old North Point Rd,Baltimore,21222,MD
611 NORTH POINT RD,6682 N Point Rd,Rockford,61108,IL
2115 OAK RD,2115 Oak Rdg,Hays,28635,NC
2124 OAKLAND RD,2124 Oakland Rd,Baltimore,21220,MD
1126 OAKMOOR CT,1126 Oakmoor Ct,Halethorpe,21227,MD
0 OAKPARK DR
2528 OLD COURT RD,2528 Old Court Rd,Baltimore,21208,MD
9723 OLD COURT RD,9723 Old Court Rd,Baltimore,21244,MD
6012 OLD FREDERICK RD,6012 Old Frederick Rd,Baltimore,21228,MD
7804 OLD HARFORD RD APT 1
7804 OLD HARFORD RD APT 2
7903 OLD HARFORD RD APT 1
19609 OLD YORK RD,19609 Old York Rd,White Hall,21161,MD
1 PAR THREE WAY,1 Par Three Way,Baltimore,21209,MD
648 PLYMOUTH RD,648 Plymouth Rd,Baltimore,21229,MD
11112 pools
10808 POWERS AVE,10808 Powers Ave,Weldon,93283,CA
1231 PRIMROSE AVE,1231 Primrose Ave,Baltimore,21237,MD
5915 PRINCE GEORGE ST,5915 Prince George St,Baltimore,21207,MD
801 RAMBO CT,801 Rambo Ct,Baltimore,21227,MD
821 RAMBO CT,821 Rambo Ct,Baltimore,21227,MD
8533 RHUDDLAN RD,8533 Rhuddlan Rd,Baltimore,21236,MD
47 RIGHT WING DR,47 Right Wing Dr,Baltimore,21220,MD
86 RITTERS LN APT 1
502 RIVERSIDE RD,502 Riverside Rd,Baltimore,21221,MD
6945 ROCKFIELDS RD,6945 Rockfields Rd,Baltimore,21244,MD
7203 ROCKLAND HILLS DR CONDO T2
305 N ROLLING RD APT 1
305 N ROLLING RD APT 2,6280 Rolling Fork Rd,North Charleston,29406,SC
305 N ROLLING RD APT 3,500 Rolling Mill Hill Rd,Nashville,37210,TN
305 N ROLLING RD APT 4
305 N ROLLING RD APT 5,500 Rolling Mill Hill Rd,Nashville,37210,TN
5120 S ROLLING RD,5120 S Rolling Rd,Baltimore,21227,MD
1415 ROSEWICK AVE,1415 Rosewick Ave,Baltimore,21237,MD
417 SCARSDALE RD,417 Scarsdale Rd,Yonkers,10707,NY
4447 SCOTIA RD,4447 Scotia Rd,Baltimore,21227,MD
104 SHIPWAY,104 Shipway,Baltimore,21222,MD
4221 SLATER AVE,4221 Slater Ave,Nottingham,21236,MD
30 SLAVIN CT,30 Slavin Ct,Baltimore,21236,MD
2908 SMITH AVE,2908 Smith Ave,Shasta Lake,96019,CA
11 SOUTHSHIP RD,11 Southship Rd,Baltimore,21222,MD
45 STEMMERS RUN RD,450 Stemmers Run Rd,Baltimore,21221,MD
602 STONEY LN,602 Stoney Ln,Baltimore,21228,MD
1004 STORMONT CIR,1004 Stormont Cir,Halethorpe,21227,MD
2116 STREAMWOOD,2116 Falmouth Ct,Streamwood,60107,IL
0 SULPHUR SPRING RD,0 Sulphur Springs Rd,Fairmount,30139,GA
14511 THORNTON MILL RD APT 1
10 Valiant DR,10 Valiant Dr,Abingdon,21009,MD
639 VILLAGER CIR,639 Villager Cir,Baltimore,21222,MD
1141 WEDGEWOOD RD,1141 Wedgewood Rd,Baltimore,21229,MD
130 WESTOWNE PL,130 Westowne Pl,Baltimore,21229,MD
317 WESTSHIRE RD APT 1,317 Westshire Rd,Baltimore,21229,MD
317 WESTSHIRE RD APT 2,317 Westshire Rd,Baltimore,21229,MD
208 WILLOW AVE,208 Willow Ave,Joliet,60436,IL
217 WILLOW AVE,217 Willow Ave,Anna Maria,34216,FL
103 WILLOW BEND DR APT 1C
143 WIMBLEDON LN,143 Wimbledon Ln,Holmen,54636,WI
38 WINTERS LN,38 Winters Ln,Baltimore,21228,MD
6753 WOODLEY RD,6753 Woodley Rd,Baltimore,21222,MD
1401 WOODSIDE AVE,1401 Woodside Ave,Park City,84060,UT
21 YORKWAY,3443 Yorkway,Baltimore,21222,MD
